date,daily_mean_discharge_cfs,unit,approval_status,qualifier
2018-09-10,40.0,ft^3/s,Approved,
2018-09-11,82.7,ft^3/s,Approved,
2018-09-12,71.7,ft^3/s,Approved,
2018-09-13,59.3,ft^3/s,Approved,
2018-09-14,1210.0,ft^3/s,Approved,
2018-09-15,5100.0,ft^3/s,Approved,
2018-09-16,2960.0,ft^3/s,Approved,
2018-09-17,2010.0,ft^3/s,Approved,
2018-09-18,2870.0,ft^3/s,Approved,
2018-09-19,1370.0,ft^3/s,Approved,
2018-09-20,685.0,ft^3/s,Approved,
2018-09-21,260.0,ft^3/s,Approved,
2018-09-22,151.0,ft^3/s,Approved,
2018-09-23,121.0,ft^3/s,Approved,
2018-09-24,102.0,ft^3/s,Approved,
2018-09-25,101.0,ft^3/s,Approved,
2018-09-26,118.0,ft^3/s,Approved,
2018-09-27,93.6,ft^3/s,Approved,
2018-09-28,91.5,ft^3/s,Approved,
2018-09-29,76.5,ft^3/s,Approved,
2018-09-30,64.1,ft^3/s,Approved,
2018-10-01,55.9,ft^3/s,Approved,
2018-10-02,52.0,ft^3/s,Approved,
2018-10-03,48.7,ft^3/s,Approved,
2018-10-04,45.2,ft^3/s,Approved,
2018-10-05,42.0,ft^3/s,Approved,
2018-10-06,39.4,ft^3/s,Approved,
2018-10-07,38.5,ft^3/s,Approved,
2018-10-08,36.4,ft^3/s,Approved,
2018-10-09,35.5,ft^3/s,Approved,
2018-10-10,44.8,ft^3/s,Approved,
