gap_start,gap_end,missing_hours,rainfall_during_gap_inches,maximum_hourly_rainfall_during_gap_inches
2018-09-15 13:00:00-04:00,2018-09-15 17:00:00-04:00,5,0.7735300841548338,0.2863253434066329
2018-09-15 19:00:00-04:00,2018-09-15 23:00:00-04:00,5,0.7742659713936147,0.38778608518068225
2018-09-16 01:00:00-04:00,2018-09-16 05:00:00-04:00,5,1.1141456617224041,0.33719369359640666
2018-09-16 08:00:00-04:00,2018-09-16 11:00:00-04:00,4,0.775765347484283,0.41718486581068714
2018-09-16 13:00:00-04:00,2018-09-16 17:00:00-04:00,5,0.06875966227566033,0.03994959344119284
2018-09-16 19:00:00-04:00,2018-09-16 23:00:00-04:00,5,0.13795166146247292,0.08179410198805252
2018-09-17 01:00:00-04:00,2018-09-17 05:00:00-04:00,5,0.10922437970304395,0.06299212911602887
2018-09-17 07:00:00-04:00,2018-09-17 11:00:00-04:00,5,0.00847192785318643,0.006006697904318843
2018-09-17 13:00:00-04:00,2018-09-17 17:00:00-04:00,5,0.06932997885142672,0.04212966698826136
2018-09-17 19:00:00-04:00,2018-09-17 23:00:00-04:00,5,0.0,0.0
2018-09-18 01:00:00-04:00,2018-09-18 05:00:00-04:00,5,0.0,0.0
2018-09-18 07:00:00-04:00,2018-09-18 11:00:00-04:00,5,0.0009106634617448268,0.0008002799274344331
2018-09-18 13:00:00-04:00,2018-09-18 17:00:00-04:00,5,0.018139673442589332,0.018139673442589332
2018-09-18 19:00:00-04:00,2018-09-18 23:00:00-04:00,5,0.0,0.0
2018-09-19 01:00:00-04:00,2018-09-19 05:00:00-04:00,5,0.0,0.0
2018-09-19 07:00:00-04:00,2018-09-19 11:00:00-04:00,5,0.0,0.0
2018-09-19 13:00:00-04:00,2018-09-19 17:00:00-04:00,5,0.0,0.0
2018-09-19 19:00:00-04:00,2018-09-19 23:00:00-04:00,5,0.0,0.0
2018-09-20 01:00:00-04:00,2018-09-20 05:00:00-04:00,5,0.0,0.0
2018-09-20 07:00:00-04:00,2018-09-20 12:00:00-04:00,6,0.0,0.0
